ensg	lof.pLI	lof.z_score	mis.z_score	syn.z_score
ENSG00000160145	1.00E+00	1.19E+01	6.18E+00	1.47E+00
ENSG00000107104	7.59E-34	2.22E-01	-5.06E+00	-3.70E+00
ENSG00000197256	2.64E-06	3.35E+00	6.23E-01	-3.19E-01
ENSG00000186994	9.93E-26	-1.95E+00	-3.53E+00	-4.82E+00
ENSG00000132854	2.12E-10	2.52E+00	8.46E-01	1.60E+00
ENSG00000120071	1.00E+00	6.33E+00	8.96E-01	-1.45E+00
ENSG00000144445	1.00E+00	5.31E+00	2.59E-01	-1.10E-01
ENSG00000139620	3.12E-08	1.69E+00	1.46E+00	1.83E-01
ENSG00000114982	1.00E+00	6.10E+00	2.16E+00	5.21E-01
ENSG00000065427	8.58E-09	2.07E+00	-4.76E-01	-1.43E+00
ENSG00000161609	1.11E-21	7.88E-01	3.21E-01	-1.10E-01
ENSG00000149474	1.74E-18	1.49E+00	1.74E+00	9.52E-01
ENSG00000108773	5.22E-03	4.34E+00	3.81E+00	9.80E-03
ENSG00000114166	9.98E-01	4.74E+00	1.76E+00	-5.87E-01
ENSG00000172977	2.73E-02	3.98E+00	3.75E+00	-2.06E+00
ENSG00000083168	1.00E+00	1.02E+01	3.14E+00	4.36E-01
ENSG00000156650	1.00E+00	1.05E+01	4.89E+00	1.99E+00
ENSG00000136504	1.00E+00	5.00E+00	4.39E+00	4.36E-01
ENSG00000103510	4.28E-09	2.29E+00	2.94E+00	-1.17E+00
ENSG00000186625	2.70E-05	2.77E+00	1.95E+00	8.15E-01
ENSG00000102781	1.52E-06	1.98E+00	1.86E+00	-3.52E-01
ENSG00000167216	2.50E-09	9.89E-01	4.10E-01	2.49E-01
ENSG00000140854	1.06E-04	3.73E+00	1.79E+00	8.74E-02
ENSG00000134152	2.24E-01	2.08E+00	6.59E-01	1.18E+00
ENSG00000047578	6.88E-26	3.25E+00	1.50E+00	1.10E+00
ENSG00000107821	3.72E-13	-8.46E-01	-1.38E+00	-8.53E-01
ENSG00000189337	6.73E-06	3.49E+00	1.28E+00	-9.90E-01
ENSG00000176595	1.71E-02	-1.11E+00	-1.04E+01	-1.11E+01
ENSG00000283239	NA	NA	-9.27E-01	-8.28E-01
ENSG00000187715	2.60E-17	4.45E-01	9.91E-01	1.31E+00
ENSG00000234438	4.95E-15	-2.60E+00	-4.32E+00	-4.68E+00
ENSG00000170852	1.00E+00	4.57E+00	3.52E+00	4.19E-01
ENSG00000182359	1.84E-10	1.44E+00	1.12E+00	1.60E+00
ENSG00000123444	3.33E-07	1.79E+00	1.76E+00	4.60E-01
ENSG00000165572	1.00E+00	4.47E+00	4.04E+00	1.64E+00
ENSG00000120696	6.88E-03	3.25E+00	3.08E+00	9.87E-01
ENSG00000163376	7.90E-04	3.07E+00	1.74E+00	4.80E-01
ENSG00000176407	1.00E+00	3.96E+00	2.73E+00	9.10E-01
ENSG00000111262	1.07E-04	1.68E+00	3.88E+00	-6.51E-01
ENSG00000143105	9.72E-05	1.33E+00	9.70E-02	-5.58E-01
ENSG00000177301	9.39E-01	3.33E+00	5.17E+00	7.88E-01
ENSG00000177272	3.46E-03	2.36E+00	2.85E+00	7.34E-01
ENSG00000182255	1.00E+00	4.57E+00	2.72E+00	-6.46E-01
ENSG00000130037	2.11E-07	7.36E-01	-7.37E-01	-2.36E+00
ENSG00000151079	4.68E-04	2.04E+00	3.76E+00	5.20E-01
ENSG00000104848	1.05E-05	6.75E-01	-2.73E-01	-9.54E-01
ENSG00000169282	3.04E-02	2.35E+00	1.64E+00	4.20E-01
ENSG00000069424	1.87E-02	3.60E+00	3.10E+00	-6.05E-02
ENSG00000170049	2.64E-20	4.10E-01	1.91E-01	-2.41E-01
ENSG00000158445	1.00E+00	5.13E+00	5.40E+00	1.28E-01
ENSG00000182674	1.00E+00	5.27E+00	3.83E+00	4.25E-01
ENSG00000129159	1.00E+00	4.27E+00	5.18E+00	1.32E-01
ENSG00000166006	4.26E-02	2.99E+00	3.20E+00	-1.33E+00
ENSG00000131398	2.96E-01	2.81E+00	3.04E+00	-5.82E-01
ENSG00000116396	1.70E-04	2.33E+00	2.03E+00	-3.90E-01
ENSG00000184408	1.00E+00	4.40E+00	4.66E+00	1.89E-01
ENSG00000171385	1.00E+00	5.04E+00	4.89E+00	9.77E-01
ENSG00000180509	5.18E-01	1.14E+00	5.93E-01	4.90E-01
ENSG00000159197	1.81E-02	3.83E-01	6.59E-01	1.43E-01
ENSG00000175538	2.65E-01	1.00E+00	4.97E-01	6.04E-01
ENSG00000152049	3.37E-02	9.95E-01	4.61E-01	-3.05E-01
ENSG00000162975	8.56E-01	2.94E+00	3.47E+00	-5.76E-01
ENSG00000026559	1.13E-03	1.66E+00	3.19E+00	-1.15E+00
ENSG00000178342	4.83E-04	-1.01E+00	-2.50E+00	-4.77E+00
ENSG00000171126	9.09E-04	1.60E+00	6.31E-01	-3.50E+00
ENSG00000168418	3.25E-13	-5.01E-01	-2.00E+00	-1.55E+00
ENSG00000143473	8.17E-01	4.41E+00	5.08E+00	1.28E+00
ENSG00000055118	6.68E-02	4.34E+00	2.50E+00	-2.04E+00
ENSG00000135519	7.08E-01	4.93E+00	4.10E+00	4.66E-01
ENSG00000089558	9.50E-01	4.93E+00	3.38E+00	8.58E-01
ENSG00000140015	1.06E-01	4.54E+00	3.74E+00	8.48E-01
ENSG00000173826	7.84E-27	4.06E-01	1.34E+00	1.42E+00
ENSG00000184611	9.05E-01	5.45E+00	3.84E+00	-1.95E-01
ENSG00000183960	2.77E-14	2.87E+00	1.78E+00	5.96E-01
ENSG00000182132	2.24E-01	2.22E+00	8.06E-01	6.66E-01
ENSG00000120049	3.83E-03	2.38E+00	1.59E+00	7.45E-01
ENSG00000115041	1.80E-09	4.18E-01	1.08E+00	2.39E-01
ENSG00000185774	2.37E-01	1.79E+00	9.49E-01	-5.40E-01
ENSG00000151704	3.25E-09	-1.91E-01	3.95E-01	8.05E-01
ENSG00000177807	4.63E-01	2.50E+00	2.71E+00	5.25E-01
ENSG00000187486	1.57E-03	1.22E+00	2.86E+00	8.05E-01
ENSG00000184185	9.95E-01	3.09E+00	4.28E+00	1.29E+00
ENSG00000115474	6.27E-01	2.66E+00	2.19E+00	5.87E-01
ENSG00000182324	2.73E-07	2.13E-01	-8.80E-01	-1.59E+00
ENSG00000157551	3.06E-03	1.77E+00	1.64E+00	3.51E-01
ENSG00000153822	2.62E-06	8.65E-01	4.84E-01	8.92E-01
ENSG00000260458	3.51E-09	-8.85E-01	3.15E-01	6.24E-02
ENSG00000123700	3.76E-01	2.77E+00	3.94E+00	4.92E-01
ENSG00000162989	1.00E+00	4.90E+00	5.49E+00	7.62E-01
ENSG00000168135	1.00E+00	3.92E+00	5.54E+00	1.18E+00
ENSG00000120457	8.15E-03	1.71E+00	2.02E+00	4.79E-01
ENSG00000157542	9.89E-01	3.50E+00	5.00E+00	7.74E-01
ENSG00000121361	8.20E-02	2.46E+00	4.39E+00	7.36E-01
ENSG00000162728	1.01E-05	1.06E+00	3.18E+00	2.48E-01
ENSG00000135750	2.31E-01	2.37E+00	9.22E-01	-2.19E-01
ENSG00000100433	3.98E-03	2.95E+00	2.42E+00	-1.15E-01
ENSG00000184261	1.60E-01	1.63E+00	5.82E-01	-2.93E+00
ENSG00000152315	6.04E-03	1.63E+00	9.05E-01	-5.99E-01
ENSG00000124249	4.29E-05	-1.47E+00	-1.50E+00	-1.22E+00
ENSG00000095981	8.72E-09	-1.32E-01	6.35E-01	3.65E-01
ENSG00000124780	1.74E-10	-5.50E-01	-5.46E-01	-2.14E-01
ENSG00000186795	1.58E-02	1.17E+00	8.16E-01	-4.80E-01
ENSG00000082482	1.96E-02	2.61E+00	2.14E+00	9.79E-01
ENSG00000171303	9.38E-02	1.95E+00	1.72E+00	-1.37E+00
ENSG00000182450	1.76E-07	8.68E-01	4.00E-01	-7.39E-01
ENSG00000164626	4.20E-03	2.52E+00	2.29E+00	2.59E-01
ENSG00000099337	6.53E-08	-2.19E-01	-6.93E-01	-8.46E-01
ENSG00000173338	4.78E-05	4.95E-01	-7.06E-01	-7.61E-01
ENSG00000169427	9.81E-01	2.66E+00	3.46E+00	4.23E-01
ENSG00000156113	1.00E+00	6.74E+00	6.53E+00	5.15E-01
ENSG00000145936	5.11E-08	1.53E-01	3.09E-01	2.18E-03
ENSG00000197584	8.84E-01	2.68E+00	1.50E+00	1.46E-01
ENSG00000171121	2.74E-08	-1.43E+00	9.97E-01	1.52E+00
ENSG00000135643	9.91E-01	2.94E+00	2.18E+00	1.81E-01
ENSG00000105642	5.48E-02	3.04E+00	1.55E+00	-1.23E-01
ENSG00000080709	6.72E-02	2.98E+00	1.57E+00	-1.74E+00
ENSG00000143603	1.00E+00	5.09E+00	4.61E+00	1.12E+00
ENSG00000104783	5.88E-08	1.55E+00	1.60E+00	6.91E-01
ENSG00000053918	1.10E-12	1.95E+00	9.12E-01	-2.18E+00
ENSG00000075043	1.00E+00	6.06E+00	3.71E+00	-2.19E+00
ENSG00000184156	9.99E-01	5.10E+00	2.36E+00	3.83E-01
ENSG00000117013	2.25E-02	3.87E+00	1.24E+00	-1.46E-01
ENSG00000185760	1.00E+00	5.13E+00	3.14E+00	-2.63E-01
ENSG00000198553	5.38E-07	-3.66E-02	5.80E-01	1.26E+00
ENSG00000124134	7.14E-10	1.94E-01	-4.30E-01	-3.00E-01
ENSG00000156486	8.56E-03	2.17E+00	2.19E+00	6.71E-01
ENSG00000170745	2.80E-01	2.90E+00	1.55E+00	5.18E-01
ENSG00000107147	1.72E-12	4.31E+00	2.10E+00	-3.28E+00
ENSG00000162687	1.44E-04	2.76E+00	2.92E+00	-2.46E-01
ENSG00000215262	1.81E-11	1.24E+00	7.21E-01	2.44E-01
ENSG00000164794	1.00E+00	4.77E+00	4.56E+00	-6.56E-01
ENSG00000168263	1.10E-35	-4.16E+00	-5.84E+00	-5.41E+00
ENSG00000135253	5.15E-64	5.11E-02	-3.45E-01	-5.97E-01
ENSG00000134504	8.91E-02	3.60E+00	1.81E+00	-1.04E+00
ENSG00000110906	8.05E-01	3.27E+00	3.19E+00	9.04E-01
ENSG00000213859	7.53E-03	8.83E-01	4.42E-01	5.65E-01
ENSG00000178695	2.79E-06	1.19E-02	-7.08E-01	-3.05E+00
ENSG00000174943	5.04E-02	2.59E+00	2.25E+00	8.86E-01
ENSG00000151364	1.34E-03	-8.94E-01	-1.93E-02	-1.84E-01
ENSG00000153885	3.01E-01	2.58E+00	9.06E-01	4.54E-01
ENSG00000183775	9.43E-01	3.26E+00	1.68E+00	3.55E-01
ENSG00000100379	6.54E-05	1.71E+00	7.06E-01	-7.68E-01
ENSG00000155729	3.62E-05	6.34E-01	9.98E-01	1.29E+00
ENSG00000168676	2.31E-10	3.36E+00	2.16E+00	8.69E-01
ENSG00000180901	4.86E-04	1.05E+00	1.18E+00	-1.12E+00
ENSG00000112078	1.77E-07	1.04E+00	1.87E+00	1.39E+00
ENSG00000188997	7.74E-03	1.13E+00	9.90E-01	1.44E-01
ENSG00000136636	6.62E-03	2.73E+00	2.53E+00	3.34E-01
ENSG00000180332	2.71E-03	1.39E+00	1.42E+00	-3.75E-01
ENSG00000167977	1.11E-01	2.14E+00	6.93E-01	-1.54E+00
ENSG00000168301	3.81E-01	2.00E+00	2.87E+00	1.26E+00
ENSG00000243335	1.76E-03	1.78E+00	1.57E+00	-1.52E-01
ENSG00000183783	7.95E-08	6.61E-01	-5.01E-01	-8.70E-01
ENSG00000104756	9.96E-01	3.52E+00	3.80E+00	8.36E-01
ENSG00000105438	3.38E-04	1.50E+00	2.24E+00	-4.89E-01
ENSG00000136240	2.59E-03	7.16E-01	-1.11E+00	-1.51E+00
ENSG00000100196	2.26E-07	1.57E-01	-5.69E-01	-6.30E-01
ENSG00000175707	8.55E-01	3.14E+00	1.25E+00	4.38E-01
ENSG00000004487	3.44E-03	3.58E+00	3.80E+00	-2.83E-02
ENSG00000165097	3.20E-09	3.05E+00	3.14E+00	7.25E-01
ENSG00000173120	1.00E+00	8.74E+00	6.92E+00	1.23E+00
ENSG00000089094	1.00E+00	7.87E+00	4.63E+00	-6.76E-02
ENSG00000115548	9.95E-01	6.24E+00	2.82E+00	-7.61E-01
ENSG00000120733	1.00E+00	9.50E+00	6.23E+00	6.03E-01
ENSG00000066135	1.00E+00	7.80E+00	4.85E+00	1.21E+00
ENSG00000127663	1.00E+00	6.36E+00	2.96E+00	-1.58E+00
ENSG00000107077	1.06E-12	2.76E+00	-9.89E-01	-2.20E+00
ENSG00000186280	4.06E-01	8.38E-01	3.72E+00	1.76E-01
ENSG00000235268	NA	NA	5.23E-01	-4.89E-01
ENSG00000255855	NA	NA	-2.02E-01	2.18E-01
ENSG00000073614	1.00E+00	8.93E+00	3.61E+00	-7.62E-01
ENSG00000117139	1.12E-29	2.84E+00	1.01E+00	1.09E+00
ENSG00000132510	1.00E+00	8.65E+00	1.83E+00	-4.10E+00
ENSG00000006459	1.00E+00	4.62E+00	1.11E+00	-9.98E-01
ENSG00000155666	7.08E-09	1.78E+00	1.21E+00	1.53E-01
ENSG00000128052	1.00E+00	7.41E+00	2.38E+00	2.75E-01
ENSG00000119537	4.35E-02	1.52E+00	5.94E-01	1.13E-01
ENSG00000079999	8.71E-02	3.77E+00	4.30E+00	4.50E-01
ENSG00000197993	6.94E-31	5.41E-01	5.08E-01	4.50E-01
ENSG00000139330	2.71E-08	3.77E-01	-8.61E-02	-3.36E-01
ENSG00000135314	8.85E-07	7.52E-01	7.44E-01	8.58E-01
ENSG00000256980	1.43E-01	1.39E+00	-5.73E-01	-7.26E-01
ENSG00000203908	1.25E-01	1.53E+00	1.90E-01	6.64E-03
ENSG00000132680	1.00E+00	4.75E+00	1.76E+00	4.87E-01
ENSG00000121774	9.98E-01	3.56E+00	5.78E-01	-1.66E+00
ENSG00000112232	5.20E-02	1.76E+00	-2.36E-01	-1.50E+00
ENSG00000131773	2.95E-04	1.09E+00	2.95E-01	-9.85E-01
ENSG00000138030	3.41E-13	-1.56E-01	1.29E-01	2.79E-01
ENSG00000100441	1.33E-09	2.30E+00	8.35E-01	2.40E-01
ENSG00000088247	1.00E+00	6.27E+00	3.00E+00	-2.68E+00
ENSG00000235750	5.74E-05	-7.08E-01	8.95E-01	-4.86E-01
ENSG00000007202	1.14E-11	7.07E+00	3.58E+00	2.38E-01
ENSG00000170871	1.00E+00	6.96E+00	1.48E+00	1.62E-02
ENSG00000137261	4.58E-15	2.22E+00	1.69E+00	1.12E+00
ENSG00000142687	1.20E-04	4.35E+00	2.47E+00	2.20E+00
ENSG00000189367	5.49E-15	1.48E+00	1.07E+00	-1.87E-01
ENSG00000135709	1.96E-09	1.78E+00	-5.74E-01	-1.55E+00
ENSG00000100578	8.53E-14	1.62E+00	3.07E-01	1.72E-01
ENSG00000198920	3.43E-23	9.02E-01	4.67E-01	5.97E-01
ENSG00000185261	2.37E-24	1.88E+00	1.50E+00	1.42E+00
ENSG00000164542	6.08E-08	1.83E+00	1.76E+00	1.10E+00
ENSG00000196123	2.31E-07	1.57E+00	1.23E+00	9.13E-01
ENSG00000100364	4.46E-05	2.18E+00	1.72E+00	-1.37E+00
ENSG00000138688	2.83E-25	8.30E+00	7.69E+00	2.37E+00
ENSG00000163807	3.69E-01	1.65E+00	-2.06E-02	-2.96E-01
ENSG00000122203	1.03E-05	1.71E+00	1.42E+00	9.12E-01
ENSG00000120549	2.84E-10	5.17E+00	1.56E+00	1.08E+00
ENSG00000150477	1.07E-12	9.44E-01	2.52E-01	5.20E-01
ENSG00000162522	2.21E-06	2.75E+00	-9.96E-01	-1.78E+00
ENSG00000122778	5.18E-06	5.20E+00	1.06E+00	-2.48E-01
ENSG00000110427	1.15E-14	4.08E+00	2.12E+00	1.24E+00
ENSG00000168116	8.18E-02	8.71E-01	1.58E-01	9.13E-01
ENSG00000135835	3.01E-24	5.85E-01	-1.82E-01	-1.07E+00
ENSG00000197077	1.16E-01	5.48E+00	2.28E-01	-2.95E-01
ENSG00000149633	5.85E-17	1.73E+00	-2.23E-01	1.31E-01
ENSG00000165185	9.98E-01	4.12E+00	1.64E+00	4.52E-01
ENSG00000182329	1.67E-29	2.09E+00	1.78E+00	1.37E+00
ENSG00000116685	1.61E-04	1.93E+00	1.74E+00	-4.89E-02
ENSG00000183354	1.18E-04	5.42E+00	-4.86E+00	-4.81E+00
ENSG00000174206	5.05E-01	2.99E+00	1.82E+00	7.57E-01
ENSG00000134313	1.00E+00	5.77E+00	3.57E+00	1.54E+00
ENSG00000138160	1.00E+00	5.11E+00	2.72E+00	4.71E-01
ENSG00000136883	5.54E-25	6.50E-01	2.03E-01	-4.87E-01
ENSG00000137177	9.92E-01	6.39E+00	2.27E+00	5.68E-01
ENSG00000197892	1.47E-18	3.95E+00	7.15E-01	-1.85E+00
ENSG00000118193	2.10E-06	4.04E+00	1.62E+00	1.89E+00
ENSG00000163808	4.64E-25	2.38E+00	2.32E+00	9.95E-01
ENSG00000089177	1.27E-13	3.08E+00	1.47E+00	1.27E+00
ENSG00000117245	3.26E-21	1.36E+00	8.37E-01	4.69E-01
ENSG00000121621	9.03E-04	2.78E+00	6.87E-01	-5.13E-01
ENSG00000186185	3.23E-09	2.86E+00	1.21E+00	2.78E-01
ENSG00000196169	1.12E-35	-4.98E-01	-2.85E-01	5.07E-01
ENSG00000130294	1.00E+00	8.75E+00	5.04E+00	-5.59E-01
ENSG00000054523	1.00E+00	8.14E+00	5.26E+00	1.73E+00
ENSG00000129250	2.25E-06	4.74E+00	1.26E+00	-1.93E+00
ENSG00000112984	2.29E-10	4.06E+00	2.28E+00	1.36E+00
ENSG00000138182	8.58E-23	2.38E+00	-7.31E-01	-4.70E-01
ENSG00000139116	2.84E-08	5.12E+00	3.12E+00	3.88E-01
ENSG00000116852	2.35E-04	6.52E+00	3.88E+00	1.23E+00
ENSG00000079616	4.95E-17	1.25E+00	5.87E-01	-1.56E+00
ENSG00000137807	1.00E+00	6.99E+00	3.28E+00	1.24E+00
ENSG00000186638	2.53E-09	3.36E+00	1.54E+00	6.72E-01
ENSG00000125337	5.00E-05	1.49E+00	3.09E-01	-4.45E-01
ENSG00000066735	2.21E-23	9.38E-01	-5.49E+00	-7.08E+00
ENSG00000162849	4.12E-05	5.31E+00	-2.27E-02	-2.27E+00
ENSG00000165115	7.98E-15	3.21E+00	2.78E+00	2.01E+00
ENSG00000068796	7.61E-01	2.70E+00	2.60E+00	8.21E-01
ENSG00000141200	2.13E-04	7.73E-01	-3.64E-01	-6.49E-01
ENSG00000142945	1.00E+00	5.34E+00	2.09E+00	6.50E-01
ENSG00000131437	1.00E+00	5.42E+00	3.69E+00	9.89E-01
ENSG00000101350	2.31E-04	3.33E+00	3.75E+00	1.05E+00
ENSG00000084731	1.00E+00	5.71E+00	3.52E+00	1.43E+00
ENSG00000226650	2.57E-18	1.22E+00	1.48E+00	1.52E+00
ENSG00000155980	1.00E+00	7.58E+00	5.04E+00	1.90E+00
ENSG00000170759	1.00E+00	4.87E+00	3.40E+00	2.60E-01
ENSG00000168280	1.00E+00	7.14E+00	3.63E+00	9.01E-02
ENSG00000164627	4.19E-17	6.40E-01	9.65E-01	2.15E-01
ENSG00000166813	3.09E-31	1.09E+00	-2.37E+00	-2.85E+00
ENSG00000088727	1.56E-14	2.31E+00	1.58E+00	1.13E+00
ENSG00000075945	1.90E-05	1.40E+00	1.29E+00	2.93E-02
ENSG00000198954	1.63E-09	1.34E+00	1.75E+00	1.77E+00
ENSG00000237649	8.63E-06	3.26E+00	2.06E+00	9.64E-01
ENSG00000167702	3.04E-33	-5.02E-01	-3.46E+00	-6.38E+00
ENSG00000140859	1.68E-12	2.92E+00	1.52E+00	-3.13E-01
ENSG00000151657	8.03E-03	2.29E+00	1.17E+00	3.98E-02
ENSG00000125498	5.53E-16	-1.16E+00	-3.50E+00	-2.05E+00
ENSG00000243772	1.34E-18	-2.42E+00	-2.80E+00	-2.67E+00
ENSG00000189013	1.27E-17	-1.62E+00	-1.89E+00	-1.54E+00
ENSG00000221957	NA	NA	-1.65E+00	-1.09E-01
ENSG00000167633	8.04E-22	-2.16E+00	-2.46E+00	-2.53E+00
ENSG00000240403	9.38E-15	4.30E-02	-2.26E+00	-4.83E-01
ENSG00000242019	1.18E-08	3.48E-01	-2.78E+00	-1.14E+00
ENSG00000183853	1.00E+00	5.49E+00	2.81E+00	9.91E-01
ENSG00000126259	3.63E-15	1.17E+00	2.80E-01	-2.23E-01
ENSG00000149571	8.49E-05	3.44E+00	1.60E+00	-6.88E-01
ENSG00000170498	4.75E-01	1.04E+00	-7.54E-01	-1.17E+00
ENSG00000116014	7.68E-10	-1.40E+00	-4.02E+00	-3.87E+00
ENSG00000157404	1.00E+00	7.01E+00	4.17E+00	5.57E-01
ENSG00000049130	9.04E-01	2.27E+00	1.57E+00	5.02E-01
ENSG00000088970	5.19E-10	4.64E-01	-1.77E-01	4.66E-02
ENSG00000133116	3.82E-15	1.98E+00	8.11E-01	8.42E-02
ENSG00000134962	1.40E-05	3.99E+00	2.25E+00	-2.77E-01
ENSG00000126214	9.57E-01	4.49E+00	3.93E+00	4.23E-01
ENSG00000174996	2.43E-03	3.94E+00	3.03E+00	8.73E-01
ENSG00000104892	1.70E-31	-2.08E+00	-3.24E+00	-4.08E+00
ENSG00000137171	3.27E-09	2.77E+00	1.98E+00	1.67E+00
ENSG00000105610	4.60E-15	-1.50E+00	-1.01E+00	-2.32E+00
ENSG00000155090	2.52E-03	2.16E+00	1.42E+00	-5.37E-01
ENSG00000172059	5.04E-07	1.14E+00	-9.57E-01	-1.51E+00
ENSG00000118922	9.99E-01	3.69E+00	2.24E+00	1.73E-01
ENSG00000169926	1.21E-04	-3.20E-01	-2.10E+00	-3.40E+00
ENSG00000266265	1.07E-05	-3.50E-01	-2.88E+00	-3.06E+00
ENSG00000163884	9.96E-01	3.27E+00	8.02E-01	-5.53E-01
ENSG00000129911	1.49E-03	-8.00E-01	-2.09E+00	-3.49E+00
ENSG00000171872	2.57E-10	4.67E-01	5.82E-01	4.25E-01
ENSG00000127528	7.99E-03	1.14E+00	-2.71E+00	-4.94E+00
ENSG00000109787	9.89E-01	3.24E+00	2.22E+00	1.24E+00
ENSG00000136826	9.74E-02	2.63E+00	-1.76E+00	-3.84E+00
ENSG00000102554	9.67E-01	3.27E+00	2.18E-01	-9.90E-01
ENSG00000067082	1.00E+00	4.45E+00	2.70E+00	1.15E-01
ENSG00000118263	1.00E+00	4.22E+00	3.41E+00	1.86E-01
ENSG00000119138	9.97E-01	3.21E+00	2.37E+00	4.16E-01
ENSG00000197776	7.06E-04	-1.55E+00	-1.05E+00	-1.51E+00
ENSG00000128607	9.50E-01	3.46E+00	2.66E+00	6.41E-01
ENSG00000165516	1.81E-04	9.37E-01	1.12E+00	6.16E-02
ENSG00000124702	1.00E+00	4.50E+00	4.29E+00	1.15E+00
ENSG00000104731	3.39E-35	-2.76E+00	-3.98E+00	-3.39E+00
ENSG00000179023	3.38E-01	5.72E-01	-6.54E-01	7.08E-02
ENSG00000130487	1.69E-02	-1.12E+00	-2.44E+00	-3.13E+00
ENSG00000162873	9.33E-05	1.94E+00	1.13E+00	1.16E+00
ENSG00000185909	3.16E-05	1.37E+00	1.46E+00	1.78E+00
ENSG00000162755	1.98E-08	6.62E-01	3.04E-01	-5.02E-02
ENSG00000150361	6.81E-07	2.95E+00	3.33E-02	-6.19E-01
ENSG00000161594	1.00E+00	4.61E+00	4.51E+00	1.29E+00
ENSG00000178502	8.28E-03	3.37E+00	3.56E+00	5.57E-01
ENSG00000117153	9.99E-01	4.43E+00	3.65E+00	1.34E+00
ENSG00000197705	7.61E-01	3.83E+00	1.69E+00	5.14E-01
ENSG00000187961	1.13E-22	-2.53E-01	-2.18E+00	-5.66E+00
ENSG00000114648	2.71E-08	2.40E+00	2.28E+00	3.34E-01
ENSG00000109466	1.00E+00	4.72E+00	4.36E+00	9.34E-01
ENSG00000076321	8.09E-01	4.03E+00	4.76E+00	9.15E-01
ENSG00000162413	3.45E-19	-1.43E+00	-2.47E+00	-5.14E+00
ENSG00000099910	9.96E-01	4.27E+00	3.36E+00	3.07E-01
ENSG00000213160	5.56E-08	1.94E+00	1.35E+00	4.34E-01
ENSG00000114796	2.07E-01	2.92E+00	3.14E+00	1.44E+00
ENSG00000183655	6.15E-18	-1.58E+00	-1.43E+00	-8.25E-01
ENSG00000167487	6.98E-02	1.30E+00	-3.79E-01	-2.07E+00
ENSG00000179454	4.95E-02	3.22E+00	2.84E+00	4.88E-01
ENSG00000119771	1.00E+00	5.35E+00	3.38E+00	2.18E-02
ENSG00000146021	1.00E+00	5.01E+00	3.58E+00	1.43E+00
ENSG00000168427	1.25E-24	-1.81E+00	-1.00E+00	-4.51E-01
ENSG00000124743	1.25E-07	1.72E+00	3.45E-01	-3.90E-01
ENSG00000186231	2.27E-04	2.84E+00	2.63E+00	1.24E+00
ENSG00000185271	1.59E-12	1.16E+00	-1.04E+00	-4.89E-01
ENSG00000149243	1.13E-19	-2.09E+00	-4.00E+00	-3.90E+00
ENSG00000135686	1.09E-07	1.82E+00	1.89E-01	-2.13E+00
ENSG00000175946	7.80E-14	1.56E-01	-3.19E-01	-1.08E-01
ENSG00000157119	8.44E-13	7.59E-01	-3.41E-01	-7.93E-01
ENSG00000239474	8.96E-05	2.20E+00	1.19E+00	1.81E+00
ENSG00000087448	8.82E-08	3.06E-01	1.41E+00	-3.49E-01
ENSG00000109790	1.16E-06	3.31E+00	2.13E+00	1.61E+00
ENSG00000172578	6.19E-10	1.81E+00	1.49E+00	3.12E-02
ENSG00000122550	1.02E-06	2.61E+00	5.04E+00	1.11E-02
ENSG00000145332	5.16E-07	2.70E+00	2.70E+00	1.19E+00
ENSG00000198642	9.53E-06	2.23E+00	2.14E+00	-1.19E-01
ENSG00000167748	8.40E-07	5.42E-01	1.02E+00	1.99E-01
ENSG00000129451	3.18E-12	-9.43E-01	-9.91E-01	-1.57E+00
ENSG00000167757	2.96E-03	1.59E+00	7.60E-01	-1.12E-01
ENSG00000186474	3.50E-09	-3.89E-01	-2.49E-01	-2.37E-01
ENSG00000167759	1.05E-06	6.06E-01	8.42E-01	-5.51E-01
ENSG00000129437	1.45E-07	2.41E-01	1.28E-01	1.43E-01
ENSG00000174562	1.70E-07	7.05E-02	-1.90E-01	-2.25E-01
ENSG00000167751	3.28E-05	1.02E+00	1.31E-01	-3.71E-01
ENSG00000142515	8.29E-06	1.18E+00	5.81E-01	-1.76E-01
ENSG00000167749	9.18E-11	-3.05E-01	-7.38E-02	2.36E-01
ENSG00000167754	1.80E-05	1.21E+00	3.94E-01	9.56E-01
ENSG00000167755	1.92E-04	1.34E+00	9.37E-01	5.23E-01
ENSG00000169035	8.08E-06	5.94E-01	-2.50E-01	-6.88E-01
ENSG00000129455	9.12E-06	1.54E+00	8.74E-01	-1.06E-01
ENSG00000213022	1.69E-10	-3.50E-01	-1.95E-01	3.69E-01
ENSG00000164344	4.75E-11	1.56E+00	6.58E-01	-4.03E-01
ENSG00000227268	3.89E-01	7.82E-01	-2.32E+00	-2.17E+00
ENSG00000111796	4.81E-02	1.56E+00	5.63E-01	7.67E-01
ENSG00000134545	2.12E-04	7.71E-01	1.11E+00	1.22E+00
ENSG00000205809	1.15E-01	1.85E+00	1.61E+00	1.16E+00
ENSG00000205810	1.88E-04	7.31E-01	8.72E-01	-1.39E-01
ENSG00000183542	1.08E-01	1.66E+00	8.11E-01	7.29E-01
ENSG00000255819	NA	NA	9.73E-01	7.35E-01
ENSG00000134539	5.19E-03	7.32E-01	1.35E-01	1.01E+00
ENSG00000150045	2.51E-01	1.81E+00	2.95E-01	-2.83E-01
